t,D1,D2,scale,sc_length,rapt
2.00039000000E-02,2.23887000000E-01,2.12693000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.50082000000E-02,2.45262000000E-01,2.32041000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.00034000000E-02,2.58817000000E-01,2.46296000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
3.50170000000E-02,2.63621000000E-01,2.53021000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
4.00066000000E-02,2.68494000000E-01,2.58519000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
4.50065000000E-02,2.74882000000E-01,2.64578000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
5.00005000000E-02,2.78036000000E-01,2.68328000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
5.50154000000E-02,2.80195000000E-01,2.70644000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
6.00130000000E-02,2.83287000000E-01,2.73932000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
6.50193000000E-02,2.83588000000E-01,2.74493000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
7.00190000000E-02,2.84240000000E-01,2.75064000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
7.50226000000E-02,2.85406000000E-01,2.76158000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
8.00067000000E-02,2.86360000000E-01,2.77218000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
8.50005000000E-02,2.86550000000E-01,2.77754000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
9.00212000000E-02,2.86618000000E-01,2.78124000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
9.50058000000E-02,2.87511000000E-01,2.79164000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.00009000000E-01,2.88502000000E-01,2.80364000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.05010000000E-01,2.89091000000E-01,2.81239000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.10006000000E-01,2.89591000000E-01,2.81982000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.15003000000E-01,2.90283000000E-01,2.82875000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.20015000000E-01,2.90691000000E-01,2.83450000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.25001000000E-01,2.91267000000E-01,2.84252000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.30005000000E-01,2.91820000000E-01,2.84966000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.35013000000E-01,2.92383000000E-01,2.85659000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.40019000000E-01,2.92958000000E-01,2.86277000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.45016000000E-01,2.93493000000E-01,2.86781000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.50014000000E-01,2.94000000000E-01,2.87254000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.55008000000E-01,2.94407000000E-01,2.87701000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.60010000000E-01,2.94741000000E-01,2.88111000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.65017000000E-01,2.95127000000E-01,2.88594000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.70014000000E-01,2.95484000000E-01,2.89082000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.75016000000E-01,2.95807000000E-01,2.89585000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.80016000000E-01,2.96141000000E-01,2.90088000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.85012000000E-01,2.96540000000E-01,2.90640000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.90012000000E-01,2.97020000000E-01,2.91268000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
1.95008000000E-01,2.97481000000E-01,2.91902000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.00005000000E-01,2.97815000000E-01,2.92432000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.05008000000E-01,2.97887000000E-01,2.92720000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.10005000000E-01,2.97259000000E-01,2.92341000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.15007000000E-01,2.95116000000E-01,2.90504000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.20008000000E-01,2.91176000000E-01,2.86885000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.25002000000E-01,2.85848000000E-01,2.81826000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
2.30005000000E-01,2.79396000000E-01,2.75604000000E-01,8.50000000000E-01,1.00000000000E+00,1.00000000000E+00
